team,conference,budget_min_m,budget_max_m,budget_mid_m,wins_2025,losses_2025,conf_wins_2025,conf_losses_2025,wins_2026,losses_2026,dollars_per_win_2025_mid_m,dollars_per_win_2026_mid_m,expected_wins_2025,wins_above_expected_2025,notes,cfbd_team,recruit_rank_2022,recruit_points_2022,recruit_rank_2023,recruit_points_2023,recruit_rank_2024,recruit_points_2024,recruit_rank_2025,recruit_points_2025,recruit_rank_2026,recruit_points_2026,recruit_rank_avg_2022_2025,recruit_points_avg_2022_2025,sp_rating_2025,sp_rank_2025,sp_offense_2025,sp_defense_2025,sp_rating_2026,sp_rank_2026,sp_offense_2026,sp_defense_2026,fpi_2025,fpi_rank_2025,fpi_2026,fpi_rank_2026,draft_picks_2024,draft_r1_2024,draft_picks_2025,draft_r1_2025,draft_picks_2026,draft_r1_2026,wins_per_recruit_point_2025,recruit_points_per_win_2025,budget_per_recruit_point_m,kn_institution,kn_url,kn_has_mfrs,kn_fy,kn_total_rev,kn_total_rev_m,kn_total_exp,kn_total_exp_m,kn_ticket_sales,kn_ticket_sales_m,kn_donations,kn_donations_m,kn_media_conference,kn_media_conference_m,kn_corp_sponsorship,kn_corp_sponsorship_m,kn_institutional_support,kn_institutional_support_m,kn_student_fees,kn_student_fees_m,kn_football_spending,kn_football_spending_m,kn_coaches_comp,kn_coaches_comp_m,kn_athlete_scholarships,kn_athlete_scholarships_m,kn_nil_rev_share_line44,kn_nil_rev_share_line44_m,kn_recruiting_exp,kn_recruiting_exp_m,kn_roster_budget_mid_m,kn_roster_as_pct_of_football_spend,kn_roster_as_pct_of_total_rev,portal_2025_transfers_in,portal_2025_avg_rating,portal_2025_star_points,portal_2025_stars_4,portal_2025_stars_5,portal_2025_rank_star_points,portal_2025_rank_avg_rating,portal_2025_rank_volume,portal_2026_transfers_in,portal_2026_avg_rating,portal_2026_star_points,portal_2026_stars_4,portal_2026_stars_5,portal_2026_rank_star_points,portal_2026_rank_avg_rating,portal_2026_rank_volume,portal_2025_rank_in_p4,portal_2026_rank_in_p4,portal_vs_hs_rank_gap_2025,on3_portal_rank_2026,on3_index_2026,on3_transfers_in_2026,on3_avg_rating_in_2026,on3_transfers_out_2026,on3_stars_4_2026,on3_stars_5_2026,247_portal_rank_2026,247_portal_points_2026,247_transfers_in_2026
Kentucky,SEC,23.0,26.0,24.5,5,7,2,6,1,1,4.9,24.5,7.011,-2.011,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $24.5M,Kentucky,14,240.16,32,212.42,24,236.86,29,224.01,60,197.21,24.75,228.36,1.8,66,25.5,23.7,6.2,52,27.4,21.2,5.127,44,4.202,50,4,0,2,1,4,0,0.02232,44.8,0.1094,University of Kentucky,https://knightnewhousedata.org/fbs/sec/university-kentucky,true,2025,185082823,185.083,192550821,192.551,48784256,48.784,32710445,32.710,83010640,83.011,7115471,7.115,203792,0.204,0,0.000,42016170,42.016,40467602,40.468,25055779,25.056,0,0.000,4008182,4.008,24.5,58.31,13.24,25,0.8728,82,7,0,33,15,44,31,0.8687,95,5,0,20,24,26,17,13,12.0,43,-1,32,67.66,22,4,0,10,47.58,32
NC State,ACC,22.0,26.0,24.0,8,5,5,4,1,1,3.0,24.0,6.934,1.066,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $24.0M,NC State,64,171.26,43,204.08,27,225.02,34,214.25,49,210.28,42,203.65,4.8,55,31.4,25.5,8,41,32,23.7,5.215,43,2.441,56,2,0,1,0,2,0,0.03734,26.78,0.112,North Carolina State University,https://knightnewhousedata.org/fbs/acc/north-carolina-state-university,true,2025,141549444,141.549,134541641,134.542,26322912,26.323,36881482,36.881,48147701,48.148,2401181,2.401,9471881,9.472,7591574,7.592,38032491,38.032,31616708,31.617,15791794,15.792,0,0.000,3400675,3.401,24.0,63.10,16.96,18,0.8576,51,0,0,84,57,87,20,0.8632,57,0,0,66,34,69,39,38,-5.0,57,-16,20,67.40,16,1,0,46,21.23,20
Arkansas,SEC,22.0,25.0,23.5,2,10,0,8,1,1,11.75,23.5,6.858,-4.858,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $23.5M,Arkansas,28,217.69,22,228.3,31,216.66,32,219.73,46,212.68,28.25,220.59,5.1,53,35.8,31.4,1.5,68,31.8,30.6,6.597,39,-1.736,65,2,0,2,0,4,0,0.0091,109.86,0.1069,University of Arkansas,https://knightnewhousedata.org/fbs/sec/university-arkansas,true,2025,195879595,195.880,188988863,188.989,63481717,63.482,38038437,38.038,66384279,66.384,19416571,19.417,0,0.000,0,0.000,57370871,57.371,41195915,41.196,20097703,20.098,0,0.000,3366516,3.367,23.5,40.96,12.00,31,0.8659,94,4,0,17,26,25,42,0.8592,125,3,0,7,51,10,10,5,22.0,4,44,45,68.76,39,4,0,33,27.72,43
Louisville,ACC,22.0,25.0,23.5,9,4,4,4,1,1,2.6111,23.5,6.858,2.142,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $23.5M,Louisville,51,187.58,31,217.99,58,186.52,68,183.1,48,211.65,52,193.8,12.4,25,31.6,19.8,14.1,23,33.3,19.4,10.15,26,11.936,28,4,0,3,0,1,0,0.04915,20.34,0.1283,University of Louisville,https://knightnewhousedata.org/fbs/acc/university-louisville,true,2025,146912011,146.912,160408294,160.408,34240447,34.240,21203827,21.204,48957394,48.957,24645765,24.646,5965092,5.965,903695,0.904,31710311,31.710,30267040,30.267,19464202,19.464,12657868,12.658,2740473,2.740,23.5,74.11,16.00,30,0.8597,88,1,0,27,53,30,33,0.8626,96,3,0,18,36,19,15,11,53.0,7,41,34,69.59,31,6,0,13,43.16,34
TCU,Big 12,22.0,25.0,23.5,9,4,5,4,1,1,2.6111,23.5,6.858,2.142,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $23.5M,TCU,45,194.07,21,235.07,34,213.87,24,229.8,47,212.6,31,218.2,8.3,37,32.9,23.9,11.3,32,31.9,20.4,9.43,30,6.346,40,3,0,2,0,3,0,0.03916,25.53,0.1023,Texas Christian University,https://knightnewhousedata.org/fbs/big-12/texas-christian-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.5,,,11,0.8645,34,1,0,116,29,128,12,0.8582,33,0,0,123,55,125,57,63,-33.0,39,3,12,66.67,12,1,0,47,20.15,12
Maryland,Big Ten,21.0,25.0,23.0,3,8,1,8,2,0,7.6667,11.5,6.781,-3.781,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $23.0M,Maryland,31,213.62,36,206.46,39,209.92,25,228.43,43,215.87,32.75,214.61,0.6,75,24.4,24.7,8.7,39,28.8,20.4,-1.746,58,5.521,44,2,0,6,0,1,0,0.01313,76.14,0.1007,"University of Maryland, College Park",https://knightnewhousedata.org/fbs/big-ten/university-maryland-college-park,true,2025,123997918,123.998,128662116,128.662,12806716,12.807,11311080,11.311,62908898,62.909,7906346,7.906,6428488,6.428,12230926,12.231,35502618,35.503,31543681,31.544,24694440,24.694,0,0.000,2722746,2.723,23.0,64.78,18.55,15,0.8693,46,1,0,95,22,104,14,0.8521,42,0,0,108,69,113,48,57,-23.0,40,2,14,66.14,13,0,0,64,13.71,14
Michigan St.,Big Ten,21.0,25.0,23.0,4,8,1,8,2,0,5.75,11.5,6.781,-2.781,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $23.0M,Michigan State,24,221.83,24,224.87,42,203.52,57,196.1,45,213.73,36.75,211.58,-3.4,82,26.6,28.7,3.5,60,28.2,24.3,0.838,55,3.446,52,1,0,1,0,2,0,0.0204,49.02,0.1173,Michigan State University,https://knightnewhousedata.org/fbs/big-ten/michigan-state-university,true,2025,179891651,179.892,178288091,178.288,30640116,30.640,36980159,36.980,78333934,78.334,14240446,14.240,7693718,7.694,0,0.000,49998836,49.999,37369230,37.369,26228578,26.229,0,0.000,2908033,2.908,23.0,46.00,12.79,23,0.8604,70,1,0,41,45,49,28,0.8558,75,0,0,42,61,38,22,26,35.0,61,-19,29,66.17,37,0,0,55,16.78,29
Northwestern,Big Ten,21.0,25.0,23.0,6,6,4,5,1,0,3.8333,23.0,6.781,-0.781,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $23.0M,Northwestern,48,191.62,47,200.11,80,165.73,66,187.75,52,204.95,60.25,186.3,5.8,51,24.4,20,7.8,42,27.1,19.8,3.514,48,2.493,55,0,0,0,0,2,0,0.03196,31.29,0.1225,Northwestern University,https://knightnewhousedata.org/fbs/big-ten/northwestern-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,23.0,,,14,0.85,42,0,0,105,74,109,17,0.8627,49,2,0,90,35,96,52,53,14.0,35,6,17,65.88,10,1,0,42,22.49,17
Washington,Big Ten,21.0,25.0,23.0,9,4,5,4,2,0,2.5556,11.5,6.781,2.219,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $23.0M,Washington,96,129.55,26,223.92,47,201.79,23,235.26,13,262.32,48,197.63,18.4,13,34.5,15.3,11.1,33,29.7,18.3,14.005,21,5.879,43,10,3,1,0,7,0,0.03826,26.14,0.0978,University of Washington,https://knightnewhousedata.org/fbs/big-ten/university-washington,true,2025,178473117,178.473,184354672,184.355,31138233,31.138,52876796,52.877,47861650,47.862,21732337,21.732,10781975,10.782,0,0.000,80545285,80.545,36295971,36.296,30485478,30.485,0,0.000,3516170,3.516,23.0,28.56,12.89,18,0.8621,49,1,0,89,39,88,14,0.8625,39,1,0,113,38,114,46,60,-23.0,55,-13,14,64.93,18,0,0,59,14.94,14
BYU,Big 12,20.0,25.0,22.5,12,2,8,1,2,0,1.875,11.25,6.705,5.295,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $22.5M,BYU,55,181.5,66,179.88,44,202.7,55,197.17,21,237.33,55,190.31,15.9,18,33.9,18.8,16.8,18,33.9,17.4,15.333,17,15.368,18,1,0,0,0,2,0,0.06086,16.43,0.1141,Brigham Young University,https://knightnewhousedata.org/fbs/big-12/brigham-young-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.5,,,13,0.8408,39,0,0,111,88,113,9,0.8767,30,3,0,129,14,136,55,65,0.0,15,21,9,72.33,14,0,0,39,25.30,9
North Carolina,ACC,20.0,25.0,22.5,4,8,2,6,2,0,5.625,11.25,6.705,-2.705,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $22.5M,North Carolina,11,258.5,30,219.35,26,228.83,41,207.81,19,247.7,27,228.62,-6.6,91,17.2,25,6.4,51,25.5,19.5,-5.878,66,6.312,41,3,1,1,1,0,0,0.01925,51.95,0.1083,"University of North Carolina, Chapel Hill",https://knightnewhousedata.org/fbs/acc/university-north-carolina-chapel-hill,true,2025,172951034,172.951,187967260,187.967,32116531,32.117,40215448,40.215,51930806,51.931,23973222,23.973,1918664,1.919,8504951,8.505,49145748,49.146,37935724,37.936,21489966,21.490,0,0.000,4192936,4.193,22.5,45.78,13.01,39,0.8689,115,7,0,5,23,8,19,0.8611,57,0,0,68,40,78,3,39,38.0,62,-19,18,64.78,32,1,0,52,18.37,19
SMU,ACC,21.0,23.0,22.0,9,4,6,2,2,0,2.4444,11.0,6.629,2.371,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $22.0M,SMU,82,146.38,72,171.15,107,142.05,31,220.85,32,225.82,73,170.11,13.4,23,34.2,19.5,15.3,19,34.3,18.6,12.495,23,13.776,24,0,0,2,0,1,0,0.04075,24.54,0.0996,Southern Methodist University,https://knightnewhousedata.org/fbs/acc/southern-methodist-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.0,,,20,0.8653,60,0,0,63,28,72,15,0.8707,48,3,0,96,17,107,31,54,0.0,25,13,18,67.00,19,0,0,32,28.48,17
California,ACC,20.0,24.0,22.0,7,6,4,4,1,1,3.1429,22.0,6.629,0.371,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $22.0M,California,59,175.53,79,162.74,55,190.2,69,180.41,56,202.81,65.5,177.22,-3.2,80,25.6,27.9,-0.6,73,27,27.4,-3.391,61,-1.516,64,1,0,4,0,1,0,0.0388,25.77,0.1219,"University of California, Berkeley",https://knightnewhousedata.org/fbs/acc/university-california-berkeley,true,2025,148840896,148.841,173116317,173.116,14259893,14.260,20523208,20.523,24695527,24.696,5490492,5.490,42665030,42.665,444374,0.444,46721911,46.722,31169830,31.170,28449748,28.450,0,0.000,3866291,3.866,22.0,47.09,14.78,36,0.8568,102,1,0,12,60,13,32,0.87,96,6,0,19,18,22,6,12,63.0,21,16,32,68.13,35,4,0,14,42.80,32
Virginia,ACC,20.0,24.0,22.0,11,3,7,2,2,0,2.0,11.0,6.629,4.371,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $22.0M,Virginia,66,166.85,64,180.69,88,159.74,58,195.76,111,171.82,69,175.76,11.1,31,28.8,18.1,12.7,28,29.3,16.8,8.247,34,12.554,25,1,0,1,0,0,0,0.05619,17.8,0.1124,University of Virginia,https://knightnewhousedata.org/fbs/acc/university-virginia,true,2025,155120584,155.121,162066043,162.066,15902119,15.902,34618654,34.619,47352404,47.352,8166062,8.166,19881360,19.881,17335632,17.336,34257393,34.257,31027981,31.028,31097346,31.097,0,0.000,2909298,2.909,22.0,64.22,14.18,31,0.8617,92,2,0,20,41,26,31,0.8607,88,1,0,26,41,29,12,20,46.0,20,16,30,66.77,22,2,0,37,26.75,31
Baylor,Big 12,20.0,23.0,21.5,5,7,3,6,1,1,4.3,21.5,6.552,-1.552,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $21.5M,Baylor,37,208.03,35,210.79,67,179.04,36,210.4,57,200.6,43.75,202.06,1.4,71,32.8,33.3,7.4,46,32.9,26.1,2.973,50,8.201,35,0,0,0,0,2,0,0.02376,42.08,0.1022,Baylor University,https://knightnewhousedata.org/fbs/big-12/baylor-university,false,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.5,,,23,0.8559,67,1,0,46,62,51,31,0.86,92,2,0,23,45,27,26,16,10.0,64,-21,30,65.60,33,1,0,36,27.18,30
Rutgers,Big Ten,20.0,23.0,21.5,5,7,2,7,0,2,4.3,,6.552,-1.552,2026 early season (~2 games as of mid-Sep); sources: FDB 2025/2026 standings; Athletic NIL mid $21.5M,Rutgers,33,210.07,57,190.36,36,211.78,33,218.6,36,220.7,39.75,207.7,1,72,31.6,30.7,-2.8,80,27.9,30.8,1.453,53,-7.257,68,1,0,3,0,1,0,0.02287,43.72,0.0984,"Rutgers, The State University of New Jersey-New Brunswick",https://knightnewhousedata.org/fbs/big-ten/rutgers-state-university-new-jersey-new-brunswick,true,2025,146638066,146.638,193831838,193.832,15846777,15.847,8122577,8.123,78467243,78.467,2679994,2.680,15035273,15.035,15835271,15.835,76085134,76.085,47739809,47.740,34292268,34.292,0,0.000,3544574,3.545,21.5,28.26,14.66,19,0.8561,55,1,0,75,61,81,15,0.8507,42,0,0,106,74,108,38,58,-5.0,53,-11,19,64.58,16,1,0,81,11.50,15
